date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:06%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/font-awesome.min.css	css/font-awesome.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:08	29910/29910	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:07%20GMT	https://web.archive.org/web/20181204104725cs_/http://ayadrezk.com/users/css/font-awesome.min.css	css/font-awesome.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:08%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/typicons.min.css	css/typicons.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:10	15833/15833	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:09%20GMT	https://web.archive.org/web/20181205225613cs_/http://ayadrezk.com/users/css/typicons.min.css	css/typicons.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:10%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/odometer-theme-default.css	css/odometer-theme-default.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:12	4138/4138	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:11%20GMT	https://web.archive.org/web/20181205194330cs_/http://ayadrezk.com/users/css/odometer-theme-default.css	css/odometer-theme-default.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:12%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/slider-pro.min.css	css/slider-pro.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:14	17279/17279	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:13%20GMT	https://web.archive.org/web/20181204064331cs_/http://ayadrezk.com/users/css/slider-pro.min.css	css/slider-pro.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:14%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/animate-custom.css	css/animate-custom.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:16	69739/69739	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:15%20GMT	https://web.archive.org/web/20181130194154cs_/http://ayadrezk.com/users/css/animate-custom.css	css/animate-custom.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:16%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/owl.carousel.css	css/owl.carousel.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:18	5239/5239	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:17%20GMT	https://web.archive.org/web/20181201002331cs_/http://ayadrezk.com/users/css/owl.carousel.css	css/owl.carousel.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:18%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/owl.theme.default.min.css	css/owl.theme.default.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:20	1628/1628	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:19%20GMT	https://web.archive.org/web/20181204083443cs_/http://ayadrezk.com/users/css/owl.theme.default.min.css	css/owl.theme.default.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:20	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:20%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/slicknav.min.css	css/slicknav.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:22	3079/3079	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:21%20GMT	https://web.archive.org/web/20181204042348cs_/http://ayadrezk.com/users/css/slicknav.min.css	css/slicknav.min.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:22	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:22%20GMT	https://web.archive.org/web/20190529201406cs_/http://ayadrezk.com/users/css/style.css	css/style.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:24	107725/107725	---MCZ	200	added ('OK')	text/css	date:Fri,%2023%20Jan%202026%2018:21:23%20GMT	https://web.archive.org/web/20181202091636cs_/http://ayadrezk.com/users/css/style.css	css/style.css	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:24	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:24%20GMT	https://web.archive.org/web/20190529201406im_/http://ayadrezk.com/users/images/logo.png	png/logo.png	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:26	57266/57266	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jan%202026%2018:21:25%20GMT	https://web.archive.org/web/20181204181310im_/http://ayadrezk.com/users/images/logo.png	png/logo.png	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:26	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:26%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-1	other/our-services-1	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:28	57156/57156	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:27%20GMT	https://web.archive.org/web/20180825172000/http://ayadrezk.com/our-services-1	html/our-services-1.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:28	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:28%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-2	other/our-services-2	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:30	39170/39170	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:29%20GMT	https://web.archive.org/web/20180825180001/http://ayadrezk.com/our-services-2	html/our-services-2.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:30%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-3	other/our-services-3	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:32	28244/28244	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:31%20GMT	https://web.archive.org/web/20180825165642/http://ayadrezk.com/our-services-3	html/our-services-3.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:32%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-4	other/our-services-4	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:34	33378/33378	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:33%20GMT	https://web.archive.org/web/20180825172116/http://ayadrezk.com/our-services-4	html/our-services-4.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:34%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-5	other/our-services-5	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:36	29849/29849	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:35%20GMT	https://web.archive.org/web/20181018025925/http://ayadrezk.com/our-services-5	html/our-services-5.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:36	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:36%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-6	other/our-services-6	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:38	28941/28941	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:37%20GMT	https://web.archive.org/web/20180825165552/http://ayadrezk.com/our-services-6	html/our-services-6.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:38	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:38%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-7	other/our-services-7	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:40	22147/22147	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:39%20GMT	https://web.archive.org/web/20180825180107/http://ayadrezk.com/our-services-7	html/our-services-7.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:40	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:40%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-8	other/our-services-8	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:42	44412/44412	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:41%20GMT	https://web.archive.org/web/20180825180224/http://ayadrezk.com/our-services-8	html/our-services-8.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:42	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:42%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services-9	other/our-services-9	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:44	42660/42660	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:43%20GMT	https://web.archive.org/web/20180825165438/http://ayadrezk.com/our-services-9	html/our-services-9.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:44%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-customer	other/our-customer	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:46	16982/16982	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:45%20GMT	https://web.archive.org/web/20180825170934/http://ayadrezk.com/our-customer	html/our-customer.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:46%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/about-us	other/about-us	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:48	18555/18555	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:47%20GMT	https://web.archive.org/web/20180825174622/http://ayadrezk.com/about-us	html/about-us.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:48	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:48%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/contact-us	other/contact-us	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:50	17164/17164	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Jan%202026%2018:21:49%20GMT	https://web.archive.org/web/20180825175309/http://ayadrezk.com/contact-us	html/contact-us.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:50%20GMT	https://web.archive.org/web/20190529201406im_/http://ayadrezk.com/users/images/1.jpg	jpg/1.jpg	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:52	225776/225776	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2018:21:51%20GMT	https://web.archive.org/web/20181205165520im_/http://ayadrezk.com/users/images/1.jpg	jpg/1.jpg	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:52	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:52%20GMT	https://web.archive.org/web/20190529201406im_/http://ayadrezk.com/users/images/2.jpg	jpg/2.jpg	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:54%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/our-services	other/our-services	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:55	3581/3581	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202026%2018:21:55%20GMT	https://web.archive.org/web/20180825174102/http://ayadrezk.com/our-services	other/our-services	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:21:56%20GMT	https://web.archive.org/web/20190529201406im_/http://ayadrezk.com/users/images/3.jpg	jpg/3.jpg	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:56	389780/389780	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2018:21:53%20GMT	https://web.archive.org/web/20181205032133im_/http://ayadrezk.com/users/images/2.jpg	jpg/2.jpg	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:21:58	275949/275949	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jan%202026%2018:21:57%20GMT	https://web.archive.org/web/20181202144845im_/http://ayadrezk.com/users/images/3.jpg	jpg/3.jpg	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:00%20GMT	https://web.archive.org/web/20190529201406/http://ayadrezk.com/users/index.html	html/index-3.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:00	3638/3638	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202026%2018:22:00%20GMT	https://web.archive.org/web/20180825165548/http://ayadrezk.com/users/index.html	html/index-3.html	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:01%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/jquery.min.js	js/jquery.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:03	86958/86958	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:02%20GMT	https://web.archive.org/web/20181201153035js_/http://ayadrezk.com/users/js/jquery.min.js	js/jquery.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:03%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/bootstrap.min.js	js/bootstrap.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:05	38338/38338	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:04%20GMT	https://web.archive.org/web/20181130194151js_/http://ayadrezk.com/users/js/bootstrap.min.js	js/bootstrap.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:05%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/jquery.hoverIntent.js	js/jquery.hoverintent.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:07	8215/8215	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:06%20GMT	https://web.archive.org/web/20181204235821js_/http://ayadrezk.com/users/js/jquery.hoverIntent.js	js/jquery.hoverintent.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:07%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/superfish.min.js	js/superfish.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:09	5775/5775	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:08%20GMT	https://web.archive.org/web/20181205032143js_/http://ayadrezk.com/users/js/superfish.min.js	js/superfish.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:09%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/jquery.sliderPro.min.js	js/jquery.sliderpro.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:11	98608/98608	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:10%20GMT	https://web.archive.org/web/20181204064440js_/http://ayadrezk.com/users/js/jquery.sliderPro.min.js	js/jquery.sliderpro.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:11%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/owl.carousel.min.js	js/owl.carousel.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:13	97262/97262	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:12%20GMT	https://web.archive.org/web/20181203061211js_/http://ayadrezk.com/users/js/owl.carousel.min.js	js/owl.carousel.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:13%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/odometer.min.js	js/odometer.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:15	11195/11195	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:14%20GMT	https://web.archive.org/web/20181205035550js_/http://ayadrezk.com/users/js/odometer.min.js	js/odometer.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:15%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/waypoints.min.js	js/waypoints.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:17	9342/9342	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:16%20GMT	https://web.archive.org/web/20181204174035js_/http://ayadrezk.com/users/js/waypoints.min.js	js/waypoints.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:17%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/jquery.slicknav.min.js	js/jquery.slicknav.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:19	8123/8123	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:18%20GMT	https://web.archive.org/web/20181204125838js_/http://ayadrezk.com/users/js/jquery.slicknav.min.js	js/jquery.slicknav.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:19	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:19%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/wow.min.js	js/wow.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:21	9711/9711	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:20%20GMT	https://web.archive.org/web/20181204130839js_/http://ayadrezk.com/users/js/wow.min.js	js/wow.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:21	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:21%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/retina.min.js	js/retina.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:23	3872/3872	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:22%20GMT	https://web.archive.org/web/20181204104728js_/http://ayadrezk.com/users/js/retina.min.js	js/retina.min.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:23	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:23%20GMT	https://web.archive.org/web/20190529201406js_/http://ayadrezk.com/users/js/custom.js	js/custom.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:25	3344/3344	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2023%20Jan%202026%2018:22:24%20GMT	https://web.archive.org/web/20181204235817js_/http://ayadrezk.com/users/js/custom.js	js/custom.js	(from https://web.archive.org/web/20190529201406/http://ayadrezk.com/)
11:22:25	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:25%20GMT	https://web.archive.org/web/20181205154447im_/http://ayadrezk.com/users/fonts/glyphicons-halflings-regular.eot	eot/glyphicons-halflings-regular.eot	(from https://web.archive.org/web/20181205154447cs_/http://ayadrezk.com/users/css/bootstrap.min.css)
11:22:26	3729/3729	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202026%2018:22:26%20GMT	https://web.archive.org/web/20181231092940im_/http://ayadrezk.com/users/fonts/glyphicons-halflings-regular.eot	eot/glyphicons-halflings-regular.eot	(from https://web.archive.org/web/20181205154447cs_/http://ayadrezk.com/users/css/bootstrap.min.css)
11:22:27	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:27%20GMT	https://web.archive.org/web/20181204104725im_/http://ayadrezk.com/users/fonts/fontawesome-webfont.eot?v=4.6.3	eot/fontawesome-webfont5b62.eot	(from https://web.archive.org/web/20181204104725cs_/http://ayadrezk.com/users/css/font-awesome.min.css)
11:22:28	3728/3728	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202026%2018:22:28%20GMT	https://web.archive.org/web/20181228164706im_/http://ayadrezk.com/users/fonts/fontawesome-webfont.eot?v=4.6.3	eot/fontawesome-webfont5b62.eot	(from https://web.archive.org/web/20181204104725cs_/http://ayadrezk.com/users/css/font-awesome.min.css)
11:22:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2023%20Jan%202026%2018:22:29%20GMT	https://web.archive.org/web/20181204104725im_/http://ayadrezk.com/users/fonts/fontawesome-webfont.eot	eot/fontawesome-webfont.eot	(from https://web.archive.org/web/20181204104725cs_/http://ayadrezk.com/users/css/font-awesome.min.css)
11:22:30	3719/3719	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202026%2018:22:30%20GMT	https://web.archive.org/web/20181228130051im_/http://ayadrezk.com/users/fonts/fontawesome-webfont.eot	eot/fontawesome-webfont.eot	(from https://web.archive.org/web/20181204104725cs_/http://ayadrezk.com/users/css/font-awesome.min.css)
